Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI %Chg",Vol/OI,IV,Delta,Time
INTC,110.27,2026-06-18,10,Call,180.00,-63.24%,0.07,0.16,78,8744,-35.98%,0.01,129.33%,0.014714,2026-06-08
PYPL,41.26,2026-06-18,10,Put,50.00,+21.18%,8.65,8.85,68,5983,-35.66%,0.01,54.56%,-0.985456,2026-06-08
IBM,280.82,2026-06-18,10,Put,275.00,-2.07%,5.85,6.3,198,1351,-35.57%,0.15,47.51%,-0.378317,2026-06-08
POET,12.28,2026-06-26,18,Call,12.50,-1.79%,1.25,1.47,74,14186,-35.44%,0.01,133.32%,0.537481,2026-06-08
MU,949.28,2026-06-18,10,Call,"1,050.00",-10.61%,29.5,30.25,1096,4125,-35.10%,0.27,104.03%,0.310654,2026-06-08
JNJ,232.16,2026-07-17,39,Call,240.00,-3.38%,4.45,5,481,6374,-35.07%,0.08,25.75%,0.368172,2026-06-08
AXTI,90.78,2026-07-17,39,Call,95.00,-4.65%,14.5,15.4,16,3866,-35.04%,0,140.25%,0.555134,2026-06-08
LUMN,9.01,2026-10-16,130,Call,15.00,-66.48%,0.5,0.56,1,2707,-34.71%,0,91.43%,0.234166,2026-06-08
MSTR,127.2,2026-06-26,18,Call,145.00,-13.99%,2.93,3.3,132,1467,-34.68%,0.09,78.18%,0.255477,2026-06-08
DIS,98.87,2026-09-18,102,Call,125.00,-26.43%,0.64,0.7,33,3336,-34.30%,0.01,31.43%,0.093188,2026-06-08
META,585.39,2027-06-17,374,Call,900.00,-53.74%,26.65,27.65,20,2174,-34.14%,0.01,41.29%,0.230486,2026-06-08
LEN,90.74,2026-06-18,10,Call,90.00,+0.82%,3.9,4.5,8,1522,-33.97%,0.01,63.76%,0.553021,2026-06-08
RBRK,71.73,2026-06-18,10,Call,90.00,-25.47%,0.1,0.25,51,2723,-33.81%,0.02,78.63%,0.047405,2026-06-08
DJT,8.15,2026-06-26,18,Call,15.00,-84.05%,0,0.12,2,1471,-33.74%,0,155.82%,0.056513,2026-06-08
RIO,100.93,2026-09-18,102,Call,115.00,-13.94%,2.8,3.9,2,2258,-33.74%,0,40.44%,0.279019,2026-06-08
DOCU,46.16,2026-06-18,10,Call,56.00,-21.32%,0,0.2,7,1160,-33.71%,0.01,67.67%,0.048436,2026-06-08
IREN,59.19,2026-06-12,4,Put,60.00,+1.37%,3.35,3.5,566,2491,-33.54%,0.23,121.21%,-0.516439,2026-06-08
CRCL,82.53,2026-06-18,10,Put,90.00,+9.05%,9.2,10.45,363,4231,-33.35%,0.09,93.78%,-0.683282,2026-06-08
AMZN,245.22,2026-07-17,39,Call,300.00,-22.34%,0.49,0.51,4087,33725,-33.33%,0.12,34.63%,0.045555,2026-06-08
QCOM,217.77,2026-07-17,39,Call,290.00,-33.17%,5.55,6.6,272,1438,-33.24%,0.19,87.85%,0.198382,2026-06-08
WBD,26.47,2026-09-18,102,Put,26.00,-1.78%,1.25,1.73,1252,6209,-33.16%,0.2,33.04%,-0.407922,2026-06-08
QCOM,217.77,2026-07-17,39,Put,230.00,+5.62%,29.25,30.15,182,2595,-33.10%,0.07,80.39%,-0.527482,2026-06-08
RBRK,71.73,2026-07-17,39,Call,95.00,-32.44%,0.8,1.35,2346,3359,-32.82%,0.7,70.86%,0.14004,2026-06-08
FIGR,27.86,2026-08-21,74,Put,30.00,+7.68%,5.3,6,59,1443,-32.79%,0.04,89.63%,-0.487801,2026-06-08
CORZ,27.15,2026-06-12,4,Put,27.00,-0.55%,0.94,1.03,337,2815,-32.75%,0.12,94.06%,-0.456669,2026-06-08
AFRM,65.46,2026-07-17,39,Put,70.00,+6.94%,7.7,8.2,15,1022,-32.59%,0.01,62.86%,-0.583752,2026-06-08
CPRI,19.38,2026-08-21,74,Call,25.00,-29.00%,0.35,0.6,2,1933,-32.22%,0,55.95%,0.196295,2026-06-08
NBIS,218,2026-07-17,39,Call,290.00,-33.03%,11.1,12.2,66,1548,-31.75%,0.04,112.41%,0.280187,2026-06-08
NFLX,82.64,2026-06-18,10,Call,92.00,-11.33%,0.12,0.13,2790,32989,-31.75%,0.08,39.53%,0.055686,2026-06-08
SATS,116.62,2026-06-12,4,Call,125.00,-7.19%,2.7,3.4,410,1879,-31.75%,0.22,126.37%,0.324374,2026-06-08
DOW,34.2,2026-06-18,10,Call,37.00,-8.19%,0.04,0.4,226,1183,-31.62%,0.19,46.66%,0.163008,2026-06-08
MRVL,288.85,2026-08-21,74,Call,170.00,+41.15%,125.2,128.15,7,5418,-31.41%,0,105.31%,0.914613,2026-06-08
AMRC,27.76,2026-10-16,130,Call,35.00,-26.08%,3.1,3.5,592,5767,-31.09%,0.1,83.45%,0.424616,2026-06-08
HOOD,85.04,2026-07-17,39,Call,140.00,-64.63%,0.19,0.9,53,7010,-30.95%,0.01,88.07%,0.057762,2026-06-08
IBM,280.82,2026-07-17,39,Call,275.00,+2.07%,18.6,20.3,81,1612,-30.93%,0.05,44.79%,0.58793,2026-06-08
LULU,117.55,2026-06-18,10,Put,150.00,+27.61%,32,34.85,60,2121,-30.91%,0.03,111.75%,-0.890422,2026-06-08
WPM,114.87,2026-06-12,4,Call,129.00,-12.30%,0.1,0.2,199,1231,-30.84%,0.16,64.88%,0.047525,2026-06-08
NVDA,208.64,2026-06-12,4,Call,195.00,+6.54%,13.9,14.4,1943,1214,-30.75%,1.6,48.63%,0.913305,2026-06-08
CRCL,82.53,2027-06-17,374,Call,115.00,-39.34%,20.3,22.4,3,1701,-30.66%,0,89.54%,0.552001,2026-06-08
OSCR,27.39,2026-06-18,10,Call,25.50,+6.90%,2.57,3.05,270,1024,-30.62%,0.26,96.50%,0.703265,2026-06-08
INTC,110.27,2026-06-26,18,Call,180.00,-63.24%,0.3,0.41,45,7221,-30.49%,0.01,113.59%,0.035126,2026-06-08
CRCL,82.53,2026-06-18,10,Put,125.00,+51.46%,41.85,43.9,23,4083,-30.41%,0.01,149.40%,-0.941265,2026-06-08
KEEL,5.66,2026-07-17,39,Put,6.00,+6.01%,0.78,1.14,26,1848,-30.24%,0.01,104.61%,-0.496601,2026-06-08
MSFT,411.74,2026-09-18,102,Call,600.00,-45.72%,1.51,1.78,174,4611,-30.14%,0.04,39.71%,0.049212,2026-06-08
COHR,401.93,2026-06-12,4,Put,250.00,-37.80%,0,0.25,1,1416,-30.04%,0,182.31%,-0.004873,2026-06-08
ASPI,6.83,2026-07-17,39,Call,9.00,-31.77%,0.4,0.5,21,7499,-29.94%,0,121.42%,0.313208,2026-06-08
SHOP,110.78,2026-07-17,39,Call,150.00,-35.40%,0.67,0.95,79,7172,-29.85%,0.01,62.10%,0.085017,2026-06-08
IREN,59.19,2026-07-17,39,Call,75.00,-26.71%,3.5,3.65,665,4956,-29.83%,0.13,108.22%,0.315171,2026-06-08
NVDA,208.64,2026-08-21,74,Call,350.00,-67.75%,0.32,0.35,43,3514,-29.82%,0.01,52.17%,0.020062,2026-06-08
RGTI,21.76,2026-07-17,39,Call,40.00,-83.82%,0.34,0.74,173,1606,-29.72%,0.11,137.66%,0.131641,2026-06-08
MAR,391.42,2026-06-18,10,Call,370.00,+5.47%,23,26.3,9,1431,-29.65%,0.01,41.33%,0.807296,2026-06-08
VSH,57.22,2026-06-18,10,Call,75.00,-31.07%,0.7,1.4,67,1699,-29.62%,0.04,146.17%,0.160034,2026-06-08
MSTR,127.2,2026-06-18,10,Put,190.00,+49.37%,61.65,63.6,13,1145,-29.45%,0.01,0.00%,0,2026-06-08
FRMI,5.7,2026-06-12,4,Put,6.50,+14.04%,0.85,1.1,1,1016,-29.35%,0,186.19%,-0.717449,2026-06-08
RCL,272,2026-07-17,39,Call,290.00,-6.62%,10.6,11.1,3020,4461,-29.31%,0.68,50.11%,0.381448,2026-06-08
AMD,490.33,2026-06-12,4,Put,470.00,-4.15%,8.95,9.4,1844,1786,-29.24%,1.03,87.60%,-0.304506,2026-06-08
META,585.39,2026-06-12,4,Call,650.00,-11.04%,0.38,0.41,1703,6132,-29.10%,0.28,52.93%,0.03178,2026-06-08
WOLF,55.42,2026-06-18,10,Call,55.00,+0.76%,5.2,6.15,327,1032,-29.07%,0.32,149.53%,0.56297,2026-06-08
PURR,8.92,2026-06-18,10,Call,14.00,-56.95%,0,0.1,62,1160,-28.88%,0.05,157.64%,0.05555,2026-06-08
HD,309.71,2026-09-18,102,Call,380.00,-22.70%,2.51,2.73,27,1543,-28.86%,0.02,30.15%,0.115878,2026-06-08
BTDR,18.49,2026-06-18,10,Put,12.00,-35.10%,0,0.2,5,3281,-28.77%,0,166.08%,-0.043314,2026-06-08
FIG,21.1,2026-07-17,39,Put,22.50,+6.64%,3,3.2,109,2093,-28.44%,0.05,84.14%,-0.534384,2026-06-08
MU,949.28,2026-06-18,10,Put,650.00,-31.53%,2.85,3.15,218,4840,-28.23%,0.05,133.30%,-0.033552,2026-06-08
POET,12.28,2026-07-17,39,Call,15.00,-22.15%,1.15,1.26,1326,10961,-28.14%,0.12,130.65%,0.402952,2026-06-08
HNGE,62.86,2026-07-17,39,Call,75.00,-19.31%,1.15,1.65,214,1925,-28.06%,0.11,60.07%,0.217415,2026-06-08
IOT,34.06,2026-06-18,10,Call,39.00,-14.50%,0.25,0.6,7,1330,-27.99%,0.01,82.42%,0.179468,2026-06-08
COIN,162.11,2026-06-12,4,Call,180.00,-11.04%,0.89,0.94,6443,2037,-27.71%,3.16,85.35%,0.130816,2026-06-08
TTD,19.43,2026-09-18,102,Call,22.50,-15.80%,2.2,2.26,623,3444,-27.66%,0.18,79.54%,0.454521,2026-06-08
FPS,59.32,2026-07-17,39,Call,65.00,-9.58%,4.1,4.6,384,6274,-27.64%,0.06,83.33%,0.426633,2026-06-08
HIMS,27.17,2026-06-26,18,Call,30.00,-10.42%,0.99,1.1,459,2906,-27.40%,0.16,85.36%,0.337759,2026-06-08
AMZN,245.22,2026-06-18,10,Call,270.00,-10.11%,0.33,0.34,2074,27623,-27.23%,0.08,35.52%,0.055807,2026-06-08
CRWV,102.37,2026-07-17,39,Call,170.00,-66.06%,0.7,0.85,71,1560,-27.20%,0.05,92.21%,0.06439,2026-06-08
NXE,10.4,2026-06-18,10,Put,10.00,-3.85%,0.25,0.4,34,12860,-27.01%,0,74.81%,-0.349926,2026-06-08
TSLA,408.95,2026-06-12,4,Put,450.00,+10.04%,41.45,42,1226,1078,-26.87%,1.14,60.69%,-0.930704,2026-06-08
GLIBK,20.77,2026-10-16,130,Call,25.00,-20.37%,0.8,2,3000,7135,-26.71%,0.42,54.92%,0.358749,2026-06-08
AMD,490.33,2028-06-16,739,Call,660.00,-34.60%,154,163,2,1472,-26.58%,0,71.18%,0.616187,2026-06-08
BMNR,16.85,2026-06-18,10,Put,14.00,-16.91%,0.11,0.13,178,1128,-26.37%,0.16,90.95%,-0.094774,2026-06-08
EH,8.71,2026-06-18,10,Put,8.00,-8.15%,0.25,0.4,136,3073,-26.36%,0.04,112.40%,-0.28954,2026-06-08
AMD,490.33,2026-07-17,39,Call,550.00,-12.17%,24.65,25.4,468,2580,-26.26%,0.18,71.80%,0.361257,2026-06-08
BB,9.29,2026-06-18,10,Call,9.50,-2.26%,0.47,0.57,704,3010,-26.24%,0.23,99.32%,0.480953,2026-06-08
PACS,35.07,2027-01-15,221,Call,15.00,+57.23%,21,21.9,2046,6481,-26.11%,0.32,98.10%,0.936301,2026-06-08
RBLX,42.3,2026-06-18,10,Call,50.00,-18.20%,0.28,0.29,1450,7838,-26.08%,0.18,78.60%,0.112593,2026-06-08
GLXY,30.51,2026-06-18,10,Call,32.50,-6.52%,1.38,1.76,606,5453,-26.02%,0.11,116.81%,0.410968,2026-06-08
SMTC,158.79,2026-07-17,39,Call,170.00,-7.06%,13.2,15.4,7,1150,-26.00%,0.01,89.67%,0.471033,2026-06-08
GOOG,361.17,2026-06-18,10,Call,380.00,-5.21%,1.99,2.25,893,6558,-25.98%,0.14,33.85%,0.194192,2026-06-08
MRVL,288.85,2026-06-18,10,Put,250.00,-13.45%,6.05,6.6,1306,1665,-25.90%,0.78,113.41%,-0.192683,2026-06-08
CPNG,15.18,2026-06-18,10,Put,15.00,-1.19%,0.51,0.57,51,4237,-25.67%,0.01,63.48%,-0.431016,2026-06-08
RKT,12.35,2026-06-12,4,Put,13.00,+5.26%,0.72,0.94,134,2413,-25.46%,0.06,81.80%,-0.710032,2026-06-08
HPE,49.87,2026-09-18,102,Call,65.00,-30.34%,3.05,3.45,315,4050,-25.35%,0.08,72.94%,0.316021,2026-06-08
BE,253.57,2026-06-18,10,Put,165.00,-34.93%,0.85,1.18,59,4144,-25.12%,0.01,155.30%,-0.035636,2026-06-08
BE,253.57,2026-08-21,74,Call,300.00,-18.31%,34,36.25,138,2113,-24.99%,0.07,111.22%,0.471945,2026-06-08
