Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"IV %Chg",IV,Vega,Delta,Time
UNH,406.57,2026-06-12,4,Put,390.00,-4.08%,1.27,1.6,443,+26.76%,40.38%,0.102047,-0.15647,2026-06-08
UNH,406.57,2026-06-12,4,Put,400.00,-1.62%,3.35,3.65,1216,+26.72%,37.21%,0.153996,-0.329383,2026-06-08
DUOL,117.96,2026-06-18,10,Call,115.00,+2.51%,6.2,8.3,136,+26.49%,72.62%,0.074898,0.610201,2026-06-08
PM,176.06,2026-06-12,4,Put,180.00,+2.24%,3.9,6.2,125,+26.45%,35.37%,0.062171,-0.718402,2026-06-08
PDYN,7.17,2027-01-15,221,Call,8.00,-11.58%,1.75,3.3,128,+26.33%,127.04%,0.020491,0.657855,2026-06-08
OBE,11.55,2026-10-16,130,Call,15.00,-29.87%,0.85,1,413,+26.17%,70.23%,0.025554,0.350906,2026-06-08
ROL,46.58,2026-06-18,10,Call,50.00,-7.34%,0.25,0.45,1414,+25.84%,45.84%,0.020719,0.187073,2026-06-08
BDX,149.99,2026-07-17,39,Call,155.00,-3.34%,2.85,5.4,241,+25.53%,31.55%,0.188665,0.397336,2026-06-08
UNH,406.57,2026-06-12,4,Put,405.00,-0.39%,5.1,5.55,224,+25.47%,36.03%,0.168431,-0.450175,2026-06-08
AMZN,245.22,2026-06-12,4,Put,262.50,+7.05%,16.6,17.8,105,+24.93%,51.82%,0.047969,-0.890727,2026-06-08
UMC,20,2027-01-15,221,Call,35.00,-75.00%,1.55,1.9,171,+24.87%,84.85%,0.051618,0.282566,2026-06-08
LLY,1149.15,2026-06-12,4,Put,"1,160.00",+0.94%,23.35,30.2,201,+24.86%,43.78%,0.472409,-0.57008,2026-06-08
MSFT,411.74,2026-06-18,10,Put,450.00,+9.29%,37.75,40.4,128,+24.85%,38.59%,0.104961,-0.915318,2026-06-08
LLY,1149.15,2026-06-12,4,Put,"1,150.00",+0.07%,18.95,23.95,265,+24.84%,44.16%,0.479795,-0.494852,2026-06-08
UNH,406.57,2026-06-12,4,Put,380.00,-6.54%,0.48,0.6,1025,+24.84%,43.51%,0.05429,-0.065501,2026-06-08
ALGN,172.05,2026-06-12,4,Call,149.00,+13.40%,20.1,27.3,669,+24.75%,97.87%,0.024784,0.927734,2026-06-08
PG,145.1,2026-06-26,18,Call,155.00,-6.82%,0.3,1.03,562,+24.72%,27.59%,0.074634,0.148627,2026-06-08
CRM,182.55,2026-06-18,10,Put,210.00,+15.04%,27.05,29.75,2015,+24.66%,66.79%,0.05749,-0.887729,2026-06-08
ADBE,244.99,2026-06-12,4,Call,290.00,-18.37%,1.35,1.58,136,+24.56%,121.44%,0.046256,0.103817,2026-06-08
UNH,406.57,2026-06-12,4,Put,370.00,-8.99%,0.18,0.24,281,+24.53%,47.34%,0.026397,-0.026834,2026-06-08
CNC,65.03,2026-06-18,10,Call,65.00,+0.05%,2.08,2.5,163,+24.20%,52.28%,0.042862,0.523959,2026-06-08
LRCX,324.45,2026-06-12,4,Put,270.00,-16.78%,0.19,0.62,157,+24.20%,96.55%,0.023527,-0.030647,2026-06-08
V,319.67,2026-06-12,4,Call,340.00,-6.36%,0.12,0.25,178,+24.15%,33.42%,0.029586,0.041277,2026-06-08
SCHW,88.08,2026-06-12,4,Call,89.00,-1.04%,1.02,1.17,2625,+24.13%,40.63%,0.035918,0.413862,2026-06-08
INTU,305.51,2026-06-18,10,Put,250.00,-18.17%,0.4,1.4,106,+24.06%,77.72%,0.053673,-0.051833,2026-06-08
ELV,418.15,2026-06-18,10,Call,420.00,-0.44%,7.3,12,238,+23.97%,37.76%,0.275852,0.487563,2026-06-08
WBD,26.47,2026-12-18,193,Put,25.00,-5.55%,1.35,4.35,100,+23.91%,50.55%,0.071308,-0.352461,2026-06-08
UNH,406.57,2026-06-12,4,Put,385.00,-5.31%,0.74,0.9,664,+23.83%,41.04%,0.073497,-0.097814,2026-06-08
RTX,178.66,2026-06-12,4,Put,180.00,+0.75%,2.93,3.7,144,+23.82%,34.87%,0.07337,-0.57209,2026-06-08
DUOL,117.96,2026-06-18,10,Put,100.00,-15.23%,0.5,1.1,497,+23.70%,82.41%,0.034079,-0.099247,2026-06-08
AMD,490.33,2026-06-12,4,Call,400.00,+18.42%,89.25,93.1,170,+23.57%,107.43%,0.035631,0.969273,2026-06-08
CGON,54.4,2026-06-18,10,Put,55.00,+1.10%,5.9,8.2,204,+23.57%,188.29%,0.035648,-0.451002,2026-06-08
LOW,207.97,2026-06-12,4,Call,220.00,-5.78%,0.15,0.7,297,+23.48%,41.34%,0.038552,0.101238,2026-06-08
LLY,1149.15,2026-06-12,4,Put,"1,140.00",-0.80%,14.4,19.55,292,+23.25%,44.75%,0.470349,-0.420723,2026-06-08
AMAT,492.17,2026-06-12,4,Put,435.00,-11.62%,1.07,2.23,708,+23.24%,86.50%,0.075807,-0.078906,2026-06-08
LRCX,324.45,2026-06-12,4,Put,280.00,-13.70%,0.55,1.16,263,+23.19%,93.70%,0.040473,-0.060018,2026-06-08
BURL,314,2026-07-17,39,Put,260.00,-17.20%,0.7,2.25,8012,+23.18%,42.33%,0.141157,-0.072215,2026-06-08
ADBE,244.99,2026-06-12,4,Call,280.00,-14.29%,2.25,2.44,301,+22.93%,118.50%,0.061333,0.155844,2026-06-08
LLY,1149.15,2026-06-12,4,Call,"1,300.00",-13.13%,0.4,0.6,6682,+22.93%,56.59%,0.0591,0.020341,2026-06-08
UNH,406.57,2026-06-12,4,Put,382.50,-5.92%,0.6,0.72,157,+22.80%,42.19%,0.063084,-0.079678,2026-06-08
CCJ,105.44,2026-06-12,4,Put,105.00,-0.42%,2.75,3.7,336,+22.77%,78.67%,0.04383,-0.462048,2026-06-08
DDOG,231.68,2026-06-26,18,Put,143.00,-38.28%,0.01,0.65,704,+22.58%,107.00%,0.020075,-0.015527,2026-06-08
NFLX,82.64,2026-06-18,10,Put,94.00,+13.75%,10.9,12.25,537,+22.56%,54.41%,0.020302,-0.919504,2026-06-08
ADBE,244.99,2026-06-12,4,Call,260.00,-6.13%,5.8,6.4,1160,+22.54%,115.10%,0.093274,0.333574,2026-06-08
MARA,13.78,2028-01-21,592,Put,5.00,-63.72%,0.91,2,4592,+22.48%,117.97%,0.024185,-0.072532,2026-06-08
MSFT,411.74,2026-06-12,4,Call,452.50,-9.90%,0.12,0.17,109,+22.48%,43.75%,0.021846,0.021104,2026-06-08
BAC,53.63,2026-07-10,32,Call,60.00,-11.88%,0.11,0.37,286,+22.44%,29.48%,0.029845,0.11,2026-06-08
ADBE,244.99,2026-06-12,4,Call,295.00,-20.41%,0.98,1.31,110,+22.41%,122.59%,0.039473,0.083757,2026-06-08
ADBE,244.99,2026-06-12,4,Call,300.00,-22.45%,0.8,0.94,653,+22.23%,123.02%,0.03295,0.066107,2026-06-08
ADBE,244.99,2026-06-12,4,Call,285.00,-16.33%,1.69,2.04,148,+22.09%,120.17%,0.053638,0.127872,2026-06-08
DOCN,169.32,2026-06-12,4,Put,160.00,-5.50%,4,5.5,311,+22.04%,125.81%,0.062452,-0.3091,2026-06-08
VTRS,15.93,2027-01-15,221,Call,20.00,-25.55%,0.4,1,1073,+21.98%,38.70%,0.040907,0.273434,2026-06-08
COST,974.75,2026-06-12,4,Put,910.00,-6.64%,0.29,0.86,156,+21.95%,37.38%,0.082897,-0.037201,2026-06-08
MSFT,411.74,2026-06-15,7,Put,440.00,+6.86%,27.8,29.95,123,+21.93%,34.48%,0.087019,-0.916377,2026-06-08
MSFT,411.74,2026-06-12,4,Put,430.00,+4.43%,18.8,20.4,163,+21.86%,40.56%,0.104217,-0.84125,2026-06-08
ADBE,244.99,2026-06-12,4,Call,255.00,-4.09%,7.2,8.25,194,+21.85%,115.40%,0.098705,0.394393,2026-06-08
META,585.39,2026-06-12,4,Call,675.00,-15.31%,0.17,0.23,159,+21.77%,61.75%,0.023455,0.015182,2026-06-08
ENPH,56.88,2026-06-26,18,Put,65.00,+14.28%,9.75,11.35,154,+21.73%,105.23%,0.045517,-0.6737,2026-06-08
SNPS,473.48,2026-06-18,10,Call,580.00,-22.50%,0.3,2.5,100,+21.69%,74.81%,0.091329,0.058335,2026-06-08
CTSH,52.99,2026-06-18,10,Put,52.50,-0.92%,1.45,1.7,2512,+21.68%,52.20%,0.034558,-0.438651,2026-06-08
SCHW,88.08,2026-06-12,4,Call,92.00,-4.45%,0.19,0.3,532,+21.68%,37.70%,0.020579,0.140569,2026-06-08
META,585.39,2026-06-12,4,Call,670.00,-14.45%,0.21,0.24,566,+21.65%,59.98%,0.026241,0.017307,2026-06-08
ADBE,244.99,2026-06-12,4,Call,270.00,-10.21%,3.55,4,422,+21.61%,116.09%,0.078042,0.230888,2026-06-08
VITL,10.06,2027-01-15,221,Call,15.00,-49.11%,1.25,1.6,337,+21.42%,86.38%,0.030452,0.411284,2026-06-08
UNH,406.57,2026-06-12,4,Put,375.00,-7.76%,0.25,0.35,135,+21.37%,44.42%,0.035784,-0.038801,2026-06-08
ADBE,244.99,2026-06-12,4,Call,305.00,-24.49%,0.6,0.7,130,+21.36%,123.17%,0.027033,0.051379,2026-06-08
TEVA,33.26,2026-06-18,10,Put,33.00,-0.78%,0.72,0.94,112,+21.25%,44.12%,0.021702,-0.439332,2026-06-08
MSFT,411.74,2026-06-12,4,Put,435.00,+5.65%,22.85,25.1,307,+21.21%,40.22%,0.074699,-0.90131,2026-06-08
ADBE,244.99,2026-06-12,4,Call,262.50,-7.15%,5,5.95,133,+21.14%,115.86%,0.090048,0.306657,2026-06-08
ADBE,244.99,2026-06-12,4,Call,275.00,-12.25%,2.69,3.2,573,+20.94%,116.78%,0.069408,0.189166,2026-06-08
LYV,159.51,2026-06-12,4,Call,167.50,-5.01%,0.3,0.9,617,+20.82%,44.84%,0.040021,0.156367,2026-06-08
LITE,895.4,2026-06-12,4,Put,677.50,-24.34%,0.1,3.7,111,+20.81%,150.88%,0.067962,-0.032389,2026-06-08
LOW,207.97,2026-06-18,10,Call,230.00,-10.59%,0.3,0.5,105,+20.76%,39.79%,0.045211,0.06803,2026-06-08
UNH,406.57,2026-06-12,4,Call,400.00,+1.62%,9.95,10.7,2761,+20.65%,38.46%,0.154837,0.665825,2026-06-08
UNH,406.57,2026-06-18,10,Put,335.00,-17.60%,0,1.71,116,+20.63%,70.40%,0.060806,-0.042406,2026-06-08
INFY,12.28,2027-01-15,221,Call,10.00,+18.57%,2.3,4.1,100,+20.61%,59.75%,0.029584,0.728534,2026-06-08
SFM,86.68,2027-01-15,221,Call,260.00,-199.95%,0.05,0.85,1748,+20.61%,65.20%,0.0472,0.031028,2026-06-08
RMBS,152.03,2026-06-18,10,Call,160.00,-5.24%,5.8,6.6,154,+20.53%,93.39%,0.097373,0.402501,2026-06-08
JXN,107.28,2026-06-18,10,Call,110.00,-2.54%,1.3,2.05,143,+20.52%,39.42%,0.066577,0.362939,2026-06-08
CDNS,394.24,2026-06-18,10,Put,300.00,-23.90%,0.05,0.65,128,+20.40%,81.11%,0.02819,-0.017488,2026-06-08
CPNG,15.18,2026-08-21,74,Put,17.00,+11.99%,2.78,3.05,300,+20.38%,67.58%,0.026645,-0.581796,2026-06-08
AMAT,492.17,2026-06-12,4,Put,440.00,-10.60%,1.5,2.71,431,+20.37%,85.77%,0.088692,-0.09739,2026-06-08
CCI,91.79,2026-06-18,10,Call,100.00,-8.94%,0.15,0.2,143,+20.37%,35.28%,0.021418,0.074612,2026-06-08
MRK,119.52,2026-06-18,10,Call,130.00,-8.77%,0.13,0.25,272,+20.35%,33.23%,0.025735,0.067193,2026-06-08
NFLX,82.64,2026-06-12,4,Put,86.00,+4.07%,3.5,3.65,368,+20.28%,36.01%,0.020092,-0.85046,2026-06-08
ADBE,244.99,2026-06-12,4,Call,250.00,-2.04%,9.05,9.95,459,+20.27%,114.20%,0.101734,0.457677,2026-06-08
NVDA,208.64,2026-06-12,4,Put,235.00,+12.63%,25.45,27.2,523,+20.18%,70.86%,0.025158,-0.942355,2026-06-08
SRAD,15.26,2026-08-21,74,Call,15.00,+1.70%,2.1,2.3,1694,+20.08%,74.52%,0.026623,0.595403,2026-06-08
ADBE,244.99,2026-06-12,4,Call,265.00,-8.17%,4.7,5.1,1004,+20.07%,116.52%,0.086497,0.281117,2026-06-08
"Downloaded from Barchart.com as of 06-08-2026 10:08pm CDT"
