Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",IV,Delta,Time
AAPL,301.54,2026-06-10,2,Put,312.50,+3.63%,11.05,11.55,11.55,6072,268,22.66,24.39%,36.92%,-0.902358,2026-06-08
AAPL,301.54,2026-06-10,2,Call,310.00,-2.81%,0.65,0.67,0.68,18325,823,22.27,24.39%,36.49%,0.157598,2026-06-08
LLY,1149.15,2026-07-17,39,Call,"1,500.00",-30.53%,2.35,2.44,2.65,7039,317,22.21,37.59%,44.02%,0.039468,2026-06-08
TSLA,408.95,2026-06-17,9,Put,395.00,-3.41%,7.05,7.2,7.25,3974,180,22.08,47.51%,51.92%,-0.31705,2026-06-08
COIN,162.11,2026-08-21,74,Call,160.00,+1.30%,23.5,23.63,24.5,11065,503,22,71.11%,77.79%,0.592534,2026-06-08
AVTR,9.69,2026-06-18,10,Call,10.00,-3.20%,0.35,0.4,0.45,10057,460,21.86,63.89%,82.68%,0.438624,2026-06-08
ASML,1749.04,2026-06-18,10,Call,"2,200.00",-25.78%,1.95,2.15,2.3,3044,141,21.59,59.70%,70.27%,0.028273,2026-06-08
TTWO,212.55,2026-07-17,39,Call,200.00,+5.90%,18.1,17.15,19.9,2525,118,21.4,39.82%,41.29%,0.708127,2026-06-08
WFC,80.96,2026-06-12,4,Put,81.00,+0.05%,1.24,1.29,1.29,6363,298,21.35,33.66%,36.99%,-0.495961,2026-06-08
LMND,52.97,2026-06-18,10,Put,41.00,-22.60%,0.05,0.2,0.35,2287,108,21.18,70.55%,100.05%,-0.051007,2026-06-08
TSLA,408.95,2026-06-10,2,Put,405.00,-0.97%,4.25,4.3,4.4,15515,736,21.08,47.51%,50.99%,-0.389536,2026-06-08
CHWY,20.15,2026-06-12,4,Put,19.50,-3.23%,0.78,0.88,0.89,3467,165,21.01,72.10%,137.04%,-0.381069,2026-06-08
CEG,250.67,2026-09-18,102,Call,380.00,-51.59%,3.6,3.9,4.5,3067,149,20.58,49.54%,58.23%,0.120695,2026-06-08
DVN,45.08,2026-08-21,74,Call,55.00,-22.01%,0.72,0.77,0.81,16810,826,20.35,40.10%,42.71%,0.17769,2026-06-08
WIX,48.21,2026-06-18,10,Put,40.00,-17.03%,0,0.4,0.7,2116,107,19.78,90.63%,91.97%,-0.095349,2026-06-08
AAPL,301.54,2026-06-10,2,Call,300.00,+0.51%,4.05,4.17,4.25,2917,151,19.32,24.39%,37.07%,0.581938,2026-06-08
TSLA,408.95,2026-06-10,2,Call,402.50,+1.58%,9.65,9.99,10.15,9573,502,19.07,47.51%,50.80%,0.672526,2026-06-08
TSLA,408.95,2026-06-10,2,Call,395.00,+3.41%,15.4,15.71,15.95,8598,454,18.94,47.51%,53.41%,0.816661,2026-06-08
MSFT,411.74,2026-07-10,32,Call,485.00,-17.79%,0.87,1.1,1.15,5083,269,18.9,30.70%,33.80%,0.059197,2026-06-08
CNQ,46.29,2026-06-12,4,Call,48.00,-3.69%,0.15,0.25,0.25,2084,111,18.77,35.03%,39.22%,0.193811,2026-06-08
TSM,426.8,2026-06-18,10,Call,417.50,+2.18%,18.55,21.75,19.9,1954,105,18.61,49.48%,49.84%,0.62466,2026-06-08
META,585.39,2026-06-10,2,Call,610.00,-4.20%,0.8,0.82,0.86,5081,273,18.61,34.56%,42.23%,0.097496,2026-06-08
CBRS,237.83,2026-07-17,39,Call,260.00,-9.32%,26.6,28.2,29.8,4005,216,18.54,117.20%,117.59%,0.48828,2026-06-08
AAPL,301.54,2026-06-10,2,Put,295.00,-2.17%,1.1,1.14,1.15,14047,761,18.46,24.39%,39.38%,-0.21996,2026-06-08
AVGO,396.6,2026-10-16,130,Put,190.00,-52.09%,0.65,0.68,0.99,2713,148,18.33,46.91%,62.12%,-0.01397,2026-06-08
ABVX,101.53,2026-07-02,24,Put,100.00,-1.51%,11.9,14.7,14.6,2563,142,18.05,117.14%,137.67%,-0.411066,2026-06-08
EXE,90.42,2026-10-16,130,Put,100.00,+10.60%,11.8,12.55,14,2506,143,17.52,31.71%,33.06%,-0.65344,2026-06-08
PRGO,11.61,2026-06-18,10,Call,10.00,+13.87%,1.2,1.7,2.1,2058,119,17.29,58.16%,68.03%,0.917572,2026-06-08
TSLA,408.95,2026-06-10,2,Put,400.00,-2.19%,2.66,2.72,2.72,22467,1300,17.28,47.51%,51.77%,-0.273825,2026-06-08
MSTR,127.2,2026-06-12,4,Call,127.00,+0.16%,4.9,5.1,5.1,3437,202,17.01,78.12%,91.87%,0.527341,2026-06-08
GLXY,30.51,2026-06-26,18,Call,31.00,-1.61%,2.6,2.7,2.78,15831,932,16.99,103.30%,106.87%,0.523543,2026-06-08
APA,37.66,2026-06-12,4,Call,39.00,-3.56%,0.17,0.36,0.5,4920,290,16.97,48.68%,52.44%,0.271686,2026-06-08
GOOGL,363.31,2026-06-10,2,Put,355.00,-2.29%,1,1.05,1.14,4383,261,16.79,32.10%,36.87%,-0.192795,2026-06-08
OSCR,27.39,2026-06-12,4,Call,26.00,+5.07%,1.87,1.86,2.1,9009,537,16.78,83.67%,103.43%,0.705028,2026-06-08
GLW,187.54,2026-09-18,102,Call,260.00,-38.64%,11.95,12.5,12.9,3723,222,16.77,80.31%,81.31%,0.299236,2026-06-08
IREN,59.19,2026-06-12,4,Call,71.00,-19.95%,0.27,0.3,0.31,22902,1378,16.62,108.93%,122.08%,0.087457,2026-06-08
NKE,43.23,2026-06-12,4,Call,43.50,-0.62%,0.57,0.61,0.64,6600,398,16.58,50.84%,40.45%,0.44968,2026-06-08
AAPL,301.54,2026-06-10,2,Put,307.50,+1.98%,6.85,6.92,7.25,11047,676,16.34,24.39%,36.46%,-0.760636,2026-06-08
INTC,110.27,2026-07-10,32,Call,120.00,-8.82%,7.1,7.31,7.55,2690,167,16.11,83.82%,84.31%,0.41959,2026-06-08
MU,949.28,2026-06-12,4,Call,935.00,+1.50%,51.6,52,52.75,3800,236,16.1,101.26%,113.12%,0.575549,2026-06-08
LOW,207.97,2026-06-12,4,Call,210.00,-0.98%,2.15,2.5,2.5,1581,100,15.81,32.22%,36.98%,0.409805,2026-06-08
AMZN,245.22,2026-06-12,4,Call,225.00,+8.25%,20.05,20.74,20.95,2013,129,15.6,32.29%,47.32%,0.961631,2026-06-08
AAOI,196.64,2026-06-12,4,Call,230.00,-16.97%,4.5,4.7,5,8993,584,15.4,147.86%,183.04%,0.235749,2026-06-08
XOM,151.75,2028-12-15,921,Put,170.00,+12.03%,32.65,34.07,34.55,6278,408,15.39,32.00%,27.80%,-0.491026,2026-06-08
AAPL,301.54,2026-07-10,32,Put,315.00,+4.46%,15.35,16.5,16.75,3787,250,15.15,24.39%,22.37%,-0.730131,2026-06-08
ABAT,3.8,2026-08-21,74,Call,7.00,-84.21%,0.25,0.3,0.35,13051,865,15.09,127.50%,142.92%,0.268951,2026-06-08
AAPL,301.54,2026-06-10,2,Put,315.00,+4.46%,13,14,14.5,3151,210,15,24.39%,41.37%,-0.92168,2026-06-08
OSCR,27.39,2026-06-12,4,Call,28.00,-2.23%,0.9,0.93,0.98,2265,156,14.52,83.67%,105.22%,0.443808,2026-06-08
GLXY,30.51,2026-06-12,4,Call,33.00,-8.16%,0.75,0.78,0.8,3209,221,14.52,103.30%,131.42%,0.309008,2026-06-08
TSLA,408.95,2026-06-12,4,Call,395.00,+3.41%,18.1,18.3,18.5,12889,892,14.45,47.51%,57.51%,0.73015,2026-06-08
TSLA,408.95,2026-06-10,2,Put,412.50,+0.87%,7.95,8.1,8.2,3534,248,14.25,47.51%,50.97%,-0.581717,2026-06-08
GLXY,30.51,2026-06-12,4,Call,29.00,+4.95%,2.39,2.75,2.86,1513,108,14.01,103.30%,141.88%,0.662301,2026-06-08
TSLA,408.95,2026-06-10,2,Put,402.50,-1.58%,3.35,3.41,3.5,11012,800,13.77,47.51%,51.28%,-0.329109,2026-06-08
BABA,120.07,2026-06-12,4,Call,120.00,+0.06%,1.87,1.86,2.02,3217,236,13.63,39.70%,38.05%,0.514172,2026-06-08
NVDA,208.64,2026-06-15,7,Call,210.00,-0.65%,3.75,3.82,3.85,18565,1369,13.56,39.98%,37.90%,0.466376,2026-06-08
MU,949.28,2026-06-12,4,Call,"1,130.00",-19.04%,3.75,4.05,4.35,1913,142,13.47,101.26%,114.41%,0.081974,2026-06-08
CPNG,15.18,2026-07-17,39,Call,20.00,-31.75%,0.05,0.15,0.34,11547,865,13.35,59.47%,66.95%,0.128686,2026-06-08
TSLA,408.95,2026-06-10,2,Call,420.00,-2.70%,2.23,2.21,2.26,24656,1866,13.21,47.51%,51.14%,0.248197,2026-06-08
MU,949.28,2026-06-26,18,Call,"1,620.00",-70.66%,3.25,3.42,3.9,1960,151,12.98,101.26%,124.89%,0.037373,2026-06-08
KOPN,5.47,2026-06-12,4,Call,6.00,-9.69%,0.1,0.15,0.15,1671,129,12.95,133.37%,134.86%,0.280372,2026-06-08
MSFT,411.74,2026-07-17,39,Call,585.00,-42.08%,0.02,0.23,0.4,2792,217,12.87,30.70%,44.84%,0.010657,2026-06-08
TSLA,408.95,2026-06-15,7,Call,410.00,-0.26%,10.85,11.07,11.15,3395,264,12.86,47.51%,50.33%,0.503206,2026-06-08
MU,949.28,2026-06-12,4,Call,940.00,+0.98%,48.9,49.75,50.9,9494,743,12.78,101.26%,113.94%,0.557755,2026-06-08
LCID,5.09,2026-11-20,165,Put,7.00,+37.52%,2.73,2.79,2.81,1271,100,12.71,95.31%,109.57%,-0.522267,2026-06-08
NVDA,208.64,2026-06-10,2,Call,210.00,-0.65%,1.91,1.95,1.95,72395,5770,12.55,39.98%,41.02%,0.423737,2026-06-08
RDDT,171.13,2026-06-12,4,Put,157.50,-7.96%,1.17,1.36,1.4,1972,158,12.48,71.72%,83.06%,-0.158126,2026-06-08
AMD,490.33,2026-06-12,4,Call,487.50,+0.58%,18.9,18.9,19.4,2628,213,12.34,71.31%,86.23%,0.545252,2026-06-08
AAPL,301.54,2026-06-10,2,Put,300.00,-0.51%,2.43,2.5,2.58,29622,2430,12.19,24.39%,36.45%,-0.417273,2026-06-08
MSFT,411.74,2026-06-10,2,Call,425.00,-3.22%,0.64,0.7,0.7,4035,336,12.01,30.70%,36.38%,0.123423,2026-06-08
TGS,29.52,2026-10-16,130,Put,25.00,-15.31%,1.35,2.39,2.5,2400,202,11.88,68.17%,54.85%,-0.268511,2026-06-08
GEMI,4.81,2026-06-12,4,Call,5.00,-3.95%,0.15,0.18,0.2,1242,105,11.83,103.11%,126.18%,0.411264,2026-06-08
AVGO,396.6,2026-06-10,2,Put,395.00,-0.40%,5.1,5.41,5.85,2207,188,11.74,46.91%,53.64%,-0.450214,2026-06-08
TSLA,408.95,2026-06-10,2,Call,415.00,-1.48%,3.6,3.65,3.7,16505,1421,11.62,47.51%,50.82%,0.357038,2026-06-08
T,22.5,2026-07-02,24,Put,22.00,-2.22%,0.35,0.39,0.4,1888,163,11.58,28.87%,25.75%,-0.357721,2026-06-08
CMG,29.27,2026-06-26,18,Call,32.00,-9.33%,0.22,0.26,0.24,4433,383,11.57,39.83%,39.80%,0.172463,2026-06-08
AAPL,301.54,2026-06-10,2,Put,292.50,-3.00%,0.7,0.74,0.75,4762,413,11.53,24.39%,40.73%,-0.151496,2026-06-08
META,585.39,2026-06-10,2,Put,570.00,-2.63%,1.88,1.91,1.96,1302,114,11.42,34.56%,41.90%,-0.189493,2026-06-08
NVDA,208.64,2026-06-17,9,Put,190.00,-8.93%,0.66,0.7,0.72,2839,251,11.31,39.98%,46.84%,-0.093379,2026-06-08
CPNG,15.18,2026-07-17,39,Call,16.00,-5.40%,0.81,0.86,0.89,26821,2401,11.17,59.47%,58.77%,0.437552,2026-06-08
SMCI,43.99,2026-06-12,4,Put,36.50,-17.03%,0.11,0.13,0.14,1214,110,11.04,84.37%,115.02%,-0.053332,2026-06-08
AAPL,301.54,2026-06-10,2,Call,312.50,-3.63%,0.4,0.42,0.42,14729,1335,11.03,24.39%,37.62%,0.10354,2026-06-08
STM,75.01,2026-06-12,4,Call,80.00,-6.65%,1.05,1.23,1.35,3053,277,11.02,79.36%,94.71%,0.275385,2026-06-08
RUN,13.46,2026-09-18,102,Call,16.00,-18.87%,1.6,1.8,1.77,15470,1405,11.01,82.68%,88.69%,0.455253,2026-06-08
MU,949.28,2026-06-12,4,Call,965.00,-1.66%,37,37,38.35,2576,237,10.87,101.26%,112.50%,0.469194,2026-06-08
GLXY,30.51,2026-06-12,4,Call,31.50,-3.24%,1.1,1.18,1.28,2888,267,10.82,103.30%,126.20%,0.431447,2026-06-08
BE,253.57,2026-06-12,4,Call,250.00,+1.41%,15.6,16.2,16.7,1883,175,10.76,109.55%,135.57%,0.568944,2026-06-08
GOOGL,363.31,2026-06-10,2,Call,367.50,-1.15%,1.88,2.11,2.24,2419,226,10.7,32.10%,34.92%,0.335947,2026-06-08
NVDA,208.64,2026-06-10,2,Call,197.50,+5.34%,11.15,11.46,11.55,1982,186,10.66,39.98%,47.00%,0.945232,2026-06-08
MSFT,411.74,2026-06-10,2,Call,422.50,-2.61%,0.95,1,1.23,1566,147,10.65,30.70%,37.22%,0.179505,2026-06-08
POET,12.28,2026-06-12,4,Call,13.50,-9.93%,0.35,0.39,0.41,6823,647,10.55,129.52%,158.85%,0.314143,2026-06-08
TITN,23.86,2026-06-18,10,Call,30.00,-25.73%,0.2,0.25,0.25,3597,344,10.46,70.53%,107.53%,0.116604,2026-06-08
MRVL,288.85,2026-06-12,4,Call,297.50,-2.99%,11.45,11.93,12.15,2110,202,10.45,106.04%,128.36%,0.440557,2026-06-08
NVDA,208.64,2026-06-10,2,Put,207.50,-0.55%,1.96,1.97,2,27639,2663,10.38,39.98%,41.10%,-0.420429,2026-06-08
TSLA,408.95,2026-06-10,2,Put,397.50,-2.80%,2.07,2.14,2.14,5235,506,10.35,47.51%,52.48%,-0.225088,2026-06-08
AAPL,301.54,2026-06-10,2,Put,302.50,+0.32%,3.5,3.69,3.8,11579,1123,10.31,24.39%,35.58%,-0.5407,2026-06-08
GLXY,30.51,2026-06-12,4,Call,30.00,+1.67%,1.87,1.87,1.95,7299,711,10.27,103.30%,129.60%,0.577319,2026-06-08
AAPL,301.54,2026-06-10,2,Put,297.50,-1.34%,1.67,1.72,1.75,9530,931,10.24,24.39%,38.07%,-0.30911,2026-06-08
RMBS,152.03,2026-06-18,10,Call,200.00,-31.55%,0.65,0.69,0.75,5537,543,10.2,92.41%,103.48%,0.065562,2026-06-08
BAC,53.63,2026-06-12,4,Put,54.00,+0.69%,0.92,0.94,0.96,11106,1091,10.18,30.02%,33.17%,-0.570126,2026-06-08
UUUU,15.21,2026-06-12,4,Call,17.00,-11.77%,0.12,0.13,0.14,1721,169,10.18,89.15%,101.28%,0.16043,2026-06-08
BAC,53.63,2026-06-26,18,Put,53.00,-1.17%,1.02,1.02,1.03,1664,164,10.15,30.02%,28.23%,-0.408701,2026-06-08
MU,949.28,2026-06-12,4,Call,960.00,-1.13%,39.15,40,40.75,6258,620,10.09,101.26%,112.80%,0.486927,2026-06-08
JNJ,232.16,2026-06-12,4,Call,237.50,-2.30%,0.8,0.84,0.9,2942,292,10.08,24.68%,27.72%,0.222313,2026-06-08
MSFT,411.74,2026-08-21,74,Call,460.00,-11.72%,11.2,11.2,11.3,67170,6694,10.03,30.70%,36.52%,0.288298,2026-06-08
CIFR,24.29,2026-06-12,4,Call,28.00,-15.27%,0.15,0.19,0.25,3428,342,10.02,107.72%,117.85%,0.138454,2026-06-08
MU,949.28,2026-06-12,4,Call,945.00,+0.45%,46.4,46.88,47.55,5205,520,10.01,101.26%,112.88%,0.540077,2026-06-08
TSLA,408.95,2026-06-12,4,Call,402.50,+1.58%,13.1,13.2,13.3,5817,581,10.01,47.51%,56.28%,0.620231,2026-06-08
OII,39.19,2026-06-18,10,Call,45.00,-14.83%,0.2,0.22,0.25,4218,423,9.97,50.59%,65.85%,0.113366,2026-06-08
TSLA,408.95,2026-06-12,4,Put,435.00,+6.37%,27.75,28.85,28.2,9263,929,9.97,47.51%,57.76%,-0.838908,2026-06-08
NBIS,218,2026-06-12,4,Call,225.00,-3.21%,9.3,9.47,9.65,3912,394,9.93,114.21%,136.70%,0.441738,2026-06-08
TSLA,408.95,2026-06-10,2,Call,400.00,+2.19%,11.4,11.8,11.9,18130,1835,9.88,47.51%,51.10%,0.728843,2026-06-08
AMD,490.33,2026-06-12,4,Call,492.50,-0.44%,16.5,17,16.9,2440,249,9.8,71.31%,86.15%,0.50021,2026-06-08
AMZN,245.22,2026-06-10,2,Put,265.00,+8.07%,18.95,19.77,20.6,2046,209,9.79,32.29%,0.00%,0,2026-06-08
TSLA,408.95,2026-06-10,2,Put,390.00,-4.63%,0.99,0.99,1.03,12418,1284,9.67,47.51%,55.67%,-0.119705,2026-06-08
NVDA,208.64,2026-06-10,2,Put,205.00,-1.74%,1.13,1.15,1.17,23695,2470,9.59,39.98%,42.29%,-0.279793,2026-06-08
AMZN,245.22,2026-06-12,4,Call,230.00,+6.21%,15.05,15.96,16.35,1582,166,9.53,32.29%,43.65%,0.92418,2026-06-08
DELL,400.77,2026-09-18,102,Put,420.00,+4.80%,74.5,76.5,77.1,1005,106,9.48,74.92%,78.84%,-0.455865,2026-06-08
ASTS,92.06,2026-06-12,4,Put,77.00,-16.36%,0.74,0.78,0.83,1305,138,9.46,115.50%,147.18%,-0.107687,2026-06-08
CRCL,82.53,2026-06-12,4,Call,83.00,-0.57%,3,3.03,3.25,997,106,9.41,86.82%,96.66%,0.499361,2026-06-08
NVDA,208.64,2026-06-10,2,Call,212.50,-1.85%,1.06,1.09,1.1,26180,2784,9.4,39.98%,40.96%,0.279945,2026-06-08
IREN,59.19,2026-10-16,130,Put,50.00,-15.53%,9.5,10.13,10.8,2639,282,9.36,108.93%,114.71%,-0.273082,2026-06-08
SMMT,14.11,2026-06-12,4,Call,15.00,-6.31%,0.1,0.15,0.2,1085,116,9.35,86.05%,76.41%,0.235824,2026-06-08
UNH,406.57,2026-06-12,4,Call,420.00,-3.30%,1.8,1.91,1.91,18925,2059,9.19,34.70%,37.39%,0.209851,2026-06-08
ASML,1749.04,2026-06-12,4,Call,"2,000.00",-14.35%,2.45,2.75,3,3110,340,9.15,59.70%,75.34%,0.048822,2026-06-08
TSLA,408.95,2026-06-10,2,Call,397.50,+2.80%,13.5,13.7,13.85,5788,636,9.1,47.51%,52.95%,0.77318,2026-06-08
TSLA,408.95,2026-06-12,4,Call,405.00,+0.97%,11.6,11.85,11.8,13053,1434,9.1,47.51%,55.94%,0.579984,2026-06-08
TSLA,408.95,2026-06-10,2,Call,390.00,+4.63%,19.75,20.25,20.35,5062,561,9.02,47.51%,55.89%,0.879497,2026-06-08
UMAC,25.85,2026-08-21,74,Call,45.00,-74.08%,1.85,2,2.55,1922,214,8.98,126.03%,139.62%,0.289257,2026-06-08
MRVL,288.85,2026-06-12,4,Put,297.50,+2.99%,19.8,19.55,20.7,2323,259,8.97,106.04%,127.58%,-0.56039,2026-06-08
SAIL,17.69,2026-06-18,10,Put,17.50,-1.07%,1.15,1.53,1.55,1307,146,8.95,93.35%,125.12%,-0.436604,2026-06-08
AMD,490.33,2027-06-17,374,Call,570.00,-16.25%,119.5,119,123.15,926,105,8.82,71.31%,72.42%,0.585154,2026-06-08
CBRS,237.83,2026-06-12,4,Call,240.00,-0.91%,12.4,12.4,13.7,1332,152,8.76,117.20%,141.11%,0.506003,2026-06-08
HL,14.89,2027-01-15,221,Call,34.00,-128.34%,0.31,0.55,0.78,1002,115,8.71,68.08%,77.23%,0.149906,2026-06-08
TSLA,408.95,2026-06-12,4,Call,370.00,+9.52%,39.75,40.2,40.3,1450,168,8.63,47.51%,66.96%,0.929043,2026-06-08
GLXY,30.51,2026-06-12,4,Call,40.00,-31.10%,0.05,0.1,0.15,909,106,8.58,103.30%,151.54%,0.052041,2026-06-08
GLXY,30.51,2026-06-12,4,Call,31.00,-1.61%,1.35,1.42,1.5,2520,294,8.57,103.30%,128.82%,0.480939,2026-06-08
AVGO,396.6,2026-06-10,2,Call,400.00,-0.86%,4.35,4.55,5,3326,388,8.57,46.91%,52.72%,0.422656,2026-06-08
INTC,110.27,2028-12-15,921,Put,65.00,-41.05%,15.85,16.71,17.1,1601,187,8.56,83.82%,73.19%,-0.137029,2026-06-08
CBRS,237.83,2026-06-12,4,Call,220.00,+7.50%,21.2,30,26,1641,192,8.55,117.20%,132.81%,0.736618,2026-06-08
NVDA,208.64,2026-06-10,2,Put,202.50,-2.94%,0.63,0.65,0.66,22091,2594,8.52,39.98%,44.01%,-0.173906,2026-06-08
GOOGL,363.31,2026-06-10,2,Put,360.00,-0.91%,2.12,2.33,2.5,2317,273,8.49,32.10%,35.18%,-0.355452,2026-06-08
TSLA,408.95,2026-06-12,4,Put,330.00,-19.31%,0.18,0.18,0.19,12093,1430,8.46,47.51%,93.99%,-0.01278,2026-06-08
GOOG,361.17,2026-06-12,4,Put,337.50,-6.55%,0.38,0.41,0.42,3173,377,8.42,31.36%,41.97%,-0.057891,2026-06-08
OSCR,27.39,2026-06-12,4,Call,26.50,+3.25%,1.62,1.67,1.8,1299,155,8.38,83.67%,107.32%,0.638252,2026-06-08
MRVL,288.85,2026-06-12,4,Call,295.00,-2.13%,12.35,12.66,12.9,4678,559,8.37,106.04%,126.90%,0.464429,2026-06-08
DASH,152.49,2026-07-02,24,Call,190.00,-24.60%,0.5,0.95,1.25,1606,192,8.36,56.29%,59.15%,0.087161,2026-06-08
TWLO,212.54,2026-08-21,74,Call,240.00,-12.92%,17.3,18.95,20.2,1211,145,8.35,66.03%,74.14%,0.430706,2026-06-08
TSLA,408.95,2026-06-12,4,Put,410.00,+0.26%,9.8,9.85,9.95,16675,2003,8.33,47.51%,55.07%,-0.504067,2026-06-08
STX,876.77,2026-06-18,10,Call,"1,100.00",-25.46%,3.3,4.4,5.3,1888,228,8.28,86.28%,90.87%,0.076807,2026-06-08
